Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
319,60,RL,94.0,9900,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,16,10,1992,1992,Gable,CompShg,Wd Sdng,VinylSd,None,259.0,Gd,TA,PConc,Gd,TA,No,Unf,995,ALQ,2,367,1340,GasA,Gd,Y,FuseA,1376,1279,-9,2637,10,-5,4,-7,5,9,TA,17,Typ,-7,,Attchd,1994.0,Unf,7,659,TA,TA,Y,343,52,151,7,-10,6,,,,-4,-2,2010,WD,Normal,260004
320,80,RL,,14114,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,10,1979,1981,Gable,CompShg,VinylSd,VinylSd,None,217.0,Gd,TA,PConc,TA,TA,No,GLQ,1035,Unf,0,343,1373,GasA,Ex,Y,SBrkr,1478,7,-8,1468,-6,3,-6,3,-3,-6,TA,-2,Typ,6,,Attchd,1979.0,Unf,-7,596,TA,TA,Y,239,51,-9,4,2,2,,,,9,7,2008,WD,Normal,187496
321,60,RL,108.0,16262,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,1,2005,2007,Gable,CompShg,VinylSd,Wd Sdng,None,377.0,Gd,TA,CBlock,Gd,TA,No,,-7,Unf,0,1256,1256,GasA,Gd,Y,SBrkr,1244,1342,-8,2594,1,7,6,9,7,10,Gd,13,Typ,8,Gd,Attchd,2007.0,Unf,5,834,TA,TA,Y,242,156,7,7,-2,8,,GdWo,Shed,4,6,2005,WD,Normal,342634
322,60,RL,99.0,12102,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,-1,3,2003,2005,Hip,CompShg,WdShing,VinylSd,BrkFace,388.0,TA,TA,BrkTil,TA,TA,No,GLQ,967,Unf,4,160,1132,GasA,TA,N,SBrkr,1137,1328,-10,2466,5,3,-6,8,5,-2,Gd,3,Typ,10,Gd,Detchd,2003.0,RFn,-7,878,TA,TA,Y,189,148,-1,-7,8,2,,,,4,2,2008,WD,Normal,353999
323,60,RL,91.0,10382,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,5,1,1985,1986,Gable,CompShg,HdBoard,VinylSd,None,173.0,Gd,TA,CBlock,Gd,TA,No,GLQ,27,Unf,1477,2,1508,GasA,Ex,Y,SBrkr,1551,1173,-4,2738,-7,-10,9,-6,7,-1,TA,11,Typ,4,Ex,Detchd,1986.0,Unf,8,584,,TA,Y,207,104,-4,6,1,5,,,,-9,-2,2008,WD,Normal,301003
324,20,RM,47.0,5817,Pave,,Reg,HLS,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1Story,-2,7,1956,2006,Gable,CompShg,AsbShng,HdBoard,None,-5.0,TA,TA,CBlock,TA,TA,,ALQ,253,Unf,7,902,1170,GasA,TA,Y,SBrkr,1157,0,5,1153,-9,-4,-3,-6,-1,-4,Gd,-2,Typ,-5,TA,Attchd,1956.0,Fin,2,220,TA,TA,Y,149,107,-6,8,0,-9,,MnPrv,,3,11,2005,New,Normal,126167
325,80,RL,102.0,11270,Pave,,IR1,Low,AllPub,Inside,Gtl,NWAmes,Norm,Norm,TwnhsE,1Story,11,-3,1968,2006,Hip,CompShg,Wd Sdng,Wd Sdng,None,298.0,Gd,TA,PConc,TA,TA,No,BLQ,8,Unf,0,709,704,GasA,Ex,Y,SBrkr,1894,1072,-2,2971,2,-4,9,-4,-4,-9,TA,19,Typ,-1,TA,Detchd,1962.0,RFn,5,571,TA,TA,Y,239,5,7,7,7,8,,MnPrv,,0,3,2011,WD,Normal,241991
326,45,RM,48.0,5002,Pave,,IR1,Lvl,AllPub,FR2,Gtl,BrDale,Norm,Norm,1Fam,1Story,10,-3,1940,1951,Gable,CompShg,VinylSd,VinylSd,None,4.0,TA,TA,PConc,TA,,Gd,BLQ,123,Unf,2,606,721,GasA,TA,Y,SBrkr,810,-5,-3,795,-2,-3,5,8,-4,10,TA,-1,Typ,4,TA,Attchd,1942.0,,-7,356,TA,TA,Y,-6,-3,238,9,-2,-8,,,,1,7,2008,WD,Family,86995
327,120,RL,27.0,10839,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,13,1992,1994,Gable,CompShg,AsbShng,Wd Sdng,BrkFace,-9.0,TA,TA,PConc,Gd,TA,Gd,Unf,1614,Unf,-9,99,1711,OthW,Gd,Y,SBrkr,1728,9,-6,1712,10,-1,-7,10,9,2,TA,1,Typ,-8,,Attchd,1992.0,Unf,-8,466,TA,TA,Y,124,33,7,-10,-9,8,,,,9,4,2007,WD,Normal,324002
328,20,RL,78.0,11600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,9,-2,1959,1961,Gable,CompShg,BrkFace,MetalSd,BrkFace,181.0,TA,TA,CBlock,Ex,Gd,No,Unf,567,Unf,2,822,1384,GasA,Ex,Y,SBrkr,1373,4,-3,1387,-8,-8,-6,6,2,8,Ex,-2,Typ,-3,TA,Attchd,1959.0,Fin,4,283,TA,TA,Y,5,41,-5,-7,-7,8,,,,-7,3,2005,WD,Normal,145258
329,75,RL,,11897,Pave,,Reg,HLS,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,2,-2,1915,1993,Hip,CompShg,BrkComm,Wd Shng,None,2.0,TA,TA,CBlock,TA,Gd,Av,Unf,6,Unf,-10,848,840,GasA,Ex,Y,SBrkr,1441,689,-10,2143,8,1,1,6,4,-9,Gd,8,Maj1,4,TA,Attchd,1929.0,RFn,-7,443,TA,TA,Y,-7,56,265,5,-3,9,,,,8,3,2008,WD,Normal,214491
330,70,RM,61.0,6402,Pave,,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1Story,11,-5,1921,1951,Gable,CompShg,VinylSd,VinylSd,None,-1.0,TA,TA,BrkTil,Gd,TA,No,GLQ,1,Unf,-10,604,592,GasA,TA,Y,SBrkr,605,601,0,1196,-3,8,6,-4,9,-7,TA,3,Typ,0,Ex,Attchd,1921.0,RFn,-4,183,TA,TA,Y,-5,-5,127,5,0,7,,,,6,15,2008,WD,Normal,77999
331,90,RL,,10630,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,-1,-5,1963,1965,Gable,CompShg,BrkFace,MetalSd,None,80.0,TA,TA,CBlock,Gd,TA,No,Unf,41,Unf,255,1426,1733,GasA,Ex,Y,SBrkr,1724,2,-5,1726,-1,10,-3,7,13,8,TA,5,Typ,5,Gd,Attchd,2003.0,RFn,4,345,TA,TA,Y,149,7,9,1,-10,-2,,,,-1,9,2008,WD,Normal,119007
332,20,RL,67.0,8174,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,Twnhs,1Story,6,9,1959,1993,Gable,CompShg,VinylSd,VinylSd,BrkFace,3.0,Gd,TA,CBlock,Gd,TA,Av,,855,Unf,-8,203,1051,GasA,Gd,Y,SBrkr,1065,3,1,1053,-1,8,0,-3,10,-1,Gd,12,Typ,4,,Attchd,1957.0,Unf,8,303,TA,TA,N,-6,2,9,-2,8,-6,,,,5,7,2006,WD,Abnorml,138990
333,20,RL,82.0,10649,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,1Fam,1Story,0,3,2004,2003,Gable,CompShg,Wd Sdng,HdBoard,None,297.0,TA,TA,PConc,Gd,TA,Av,GLQ,1120,Rec,488,1610,3208,GasA,Gd,Y,SBrkr,1632,5,-8,1636,9,4,-4,3,6,-9,Gd,11,Typ,1,,Attchd,2004.0,Unf,7,872,TA,Fa,Y,-1,6,1,-10,1,3,,,,3,16,2008,WD,Normal,283997
334,120,RM,68.0,8188,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,3,-3,2003,2005,Hip,CompShg,Plywood,HdBoard,BrkFace,148.0,TA,Gd,PConc,TA,TA,No,ALQ,729,Unf,6,634,1357,GasA,Ex,Y,SBrkr,1362,9,2,1360,-2,-9,-4,-7,-1,10,Gd,-3,Typ,9,Gd,Attchd,2003.0,RFn,3,481,TA,,Y,183,39,6,9,-4,3,,,,-2,14,2009,WD,Partial,207004
335,60,RL,65.0,9051,Pave,,IR1,HLS,AllPub,Inside,Gtl,Crawfor,PosN,PosN,1Fam,2Story,-2,-1,1997,1999,Gable,CompShg,Wd Sdng,VinylSd,None,-7.0,TA,TA,CBlock,Gd,TA,No,ALQ,832,Unf,-1,109,936,GasA,TA,Y,SBrkr,934,692,2,1630,-2,-6,-6,4,8,-4,TA,3,Typ,2,Gd,Attchd,1999.0,Unf,-6,476,,TA,Y,91,29,2,-2,-9,3,,,,1,6,2009,WD,Partial,191996
336,190,RL,,164655,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,7,1964,1966,Gable,CompShg,Plywood,Stucco,None,-4.0,TA,TA,CBlock,TA,TA,No,GLQ,1256,Unf,147,99,1502,GasA,Ex,Y,SBrkr,1610,163,5,1788,-5,4,4,-9,7,5,TA,10,Typ,1,TA,Attchd,1964.0,RFn,1,529,TA,TA,N,661,6,9,-5,-1,9,,,,709,15,2009,ConLI,Partial,228951
337,20,RL,95.0,14149,Pave,,Reg,HLS,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,7,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,194.0,Gd,Gd,PConc,Gd,TA,Mn,GLQ,1241,Unf,0,681,1924,GasA,TA,Y,SBrkr,1927,4,7,1927,-1,3,6,6,7,0,TA,10,Typ,3,Gd,Attchd,2006.0,Unf,6,683,TA,TA,Y,184,41,4,-7,-2,8,,,,-1,9,2006,WD,Partial,377418
338,20,RL,68.0,9144,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,4,9,2003,2002,Gable,CompShg,HdBoard,VinylSd,Stone,110.0,Gd,TA,PConc,TA,TA,No,GLQ,817,Unf,2,733,1537,GasA,Ex,Y,SBrkr,1536,1,3,1534,5,-9,9,-6,10,-8,TA,8,Typ,1,TA,Attchd,2001.0,,2,529,TA,TA,Y,185,80,-9,-8,9,8,,GdPrv,,-10,20,2007,WD,Normal,214003
339,20,RL,82.0,14139,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,1,9,1985,1999,Hip,CompShg,HdBoard,VinylSd,None,0.0,TA,TA,Slab,TA,TA,No,BLQ,221,Unf,-5,985,1199,GasA,Ex,Y,SBrkr,1614,6,-4,1624,-5,-6,9,5,9,6,TA,0,Typ,-8,Gd,Attchd,1983.0,Fin,9,437,TA,TA,Y,106,54,-9,6,3,8,,,,398,2,2007,WD,Normal,202505
340,20,RL,66.0,12406,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,13,-3,1959,1997,Gable,CompShg,VinylSd,VinylSd,None,172.0,Gd,TA,BrkTil,Gd,TA,No,ALQ,577,Unf,1,630,1215,GasA,Ex,N,SBrkr,1213,9,0,1218,-4,-7,-2,-2,11,3,Gd,2,Typ,6,Gd,Detchd,1959.0,Fin,2,288,TA,TA,Y,-5,-6,3,-7,239,-8,,,,-5,2,2008,WD,Normal,154990
341,60,RL,79.0,14190,Pave,,Reg,Lvl,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,2Story,3,10,2003,2003,Gable,CompShg,Wd Sdng,VinylSd,None,3.0,TA,TA,Stone,TA,TA,No,BLQ,-8,Unf,-8,975,957,GasA,Ex,Y,SBrkr,988,905,2,1912,-1,-8,3,2,-5,10,Gd,13,Typ,2,TA,BuiltIn,2001.0,Fin,-7,426,TA,TA,Y,134,2,5,-6,-6,7,,GdPrv,,-5,12,2009,WD,Normal,202903
342,20,RH,54.0,8409,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,8,9,1949,1949,Gable,CompShg,VinylSd,AsbShng,BrkFace,-3.0,TA,TA,CBlock,TA,TA,No,Unf,-1,Unf,6,730,726,GasA,TA,Y,SBrkr,836,-1,5,850,7,-6,5,-5,6,-7,TA,2,Typ,7,Gd,,1951.0,Unf,2,288,TA,TA,Y,248,4,22,4,3,-8,,,,2,9,2010,WD,Normal,82001
343,90,RL,,8553,Pave,,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,-2,11,1948,1951,Gable,CompShg,MetalSd,AsbShng,None,343.0,TA,TA,CBlock,Gd,TA,Av,GLQ,-2,Unf,-3,-7,-2,GasA,Ex,Y,SBrkr,1034,5,-3,1041,8,-8,-7,-1,5,0,Gd,13,Typ,-4,Gd,Attchd,1948.0,RFn,11,407,TA,TA,Y,7,-3,2,9,8,3,,,,7,10,2007,WD,Normal,87503
344,120,RL,56.0,8848,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,Twnhs,1Story,13,8,2004,2004,Gable,CompShg,HdBoard,VinylSd,BrkFace,618.0,TA,Gd,CBlock,Gd,,,Unf,24,Unf,1,1663,1678,GasA,Ex,Y,SBrkr,1687,-10,-1,1677,3,-4,11,2,6,1,TA,5,Typ,-6,TA,Attchd,2004.0,Unf,6,571,TA,TA,Y,502,71,-10,-1,7,-8,,,,0,5,2007,WD,Normal,266008
345,160,RM,40.0,2599,Pave,Grvl,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,2fmCon,1Story,-1,-5,1975,1975,Gable,CompShg,CemntBd,CmentBd,None,-3.0,TA,TA,PConc,Fa,TA,Av,GLQ,130,Unf,224,184,534,GasA,Ex,Y,FuseA,536,583,-6,1107,3,-10,-1,0,4,-3,TA,10,Typ,-5,TA,Detchd,1975.0,Fin,-2,334,TA,TA,Y,190,6,5,-9,-3,-6,,,,-9,9,2011,New,Normal,84999
346,50,RL,71.0,6426,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,8,4,1938,1951,Gable,CompShg,VinylSd,VinylSd,None,-7.0,TA,TA,BrkTil,TA,TA,Mn,Unf,5,Unf,0,981,971,GasA,Ex,Y,SBrkr,971,608,9,1575,8,4,3,-8,-5,2,Gd,9,Typ,8,,Attchd,1938.0,Fin,2,318,TA,TA,Y,9,-8,-2,-4,7,-1,,,Shed,0,1,2007,WD,Normal,140196
347,20,RL,,12779,Pave,,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,Duplex,2Story,6,1,1961,1997,Gable,CompShg,VinylSd,VinylSd,None,-3.0,TA,TA,PConc,Gd,TA,No,GLQ,504,GLQ,-5,450,955,GasA,TA,Y,FuseA,967,-8,6,949,2,1,8,0,-5,-6,TA,1,Typ,2,,Attchd,1959.0,Fin,-8,300,TA,TA,Y,3,4,4,-3,9,9,,,,15492,3,2008,WD,Normal,151499
348,20,RL,,17599,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,11,2,1959,1959,Gable,CompShg,Wd Sdng,Plywood,BrkFace,35.0,Gd,TA,CBlock,Gd,TA,No,GLQ,1277,Unf,5,210,1474,GasA,TA,Y,SBrkr,1474,-6,-7,1470,6,-1,-2,8,-1,1,TA,2,Typ,7,Fa,Attchd,1959.0,RFn,6,502,TA,TA,Y,-2,35,6,3,-2,2,,,,7,9,2010,WD,Partial,157501
349,160,RL,45.0,2451,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,Norm,TwnhsE,2Story,5,4,2004,2003,Gable,CompShg,MetalSd,MetalSd,BrkFace,100.0,TA,TA,PConc,TA,TA,No,Unf,565,Unf,-2,183,758,GasA,TA,Y,SBrkr,759,865,-6,1624,5,2,-3,4,-6,0,TA,-2,Typ,4,,Attchd,2002.0,Fin,7,483,TA,TA,Y,0,34,5,-9,5,1,,MnPrv,,5,1,2007,WD,Normal,154006
350,60,RL,59.0,20431,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,4,2006,2007,Hip,CompShg,Wd Sdng,HdBoard,None,873.0,TA,TA,BrkTil,Gd,TA,Av,Unf,1416,Unf,4,438,1850,GasA,Gd,Y,SBrkr,1851,885,-9,2733,10,8,-1,6,12,-6,TA,3,Typ,-7,,Attchd,2007.0,Unf,7,706,TA,TA,Y,0,5,4,3,4,-2,,,,-10,0,2007,WD,Normal,437157
351,120,RL,63.0,7817,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,2Story,1,8,2008,2008,Hip,CompShg,Wd Sdng,VinylSd,None,360.0,Gd,TA,PConc,Gd,Gd,No,Unf,-2,Unf,-8,1864,1862,GasA,Ex,Y,SBrkr,1871,9,1,1875,-9,1,10,9,-7,-7,TA,15,Typ,5,,Detchd,2006.0,Unf,-6,621,TA,TA,Y,201,63,6,5,8,-5,,,,-4,2,2006,WD,Normal,318063
352,120,RL,,5272,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,1,3,1987,1985,Gable,CompShg,AsbShng,HdBoard,BrkFace,9.0,TA,TA,CBlock,TA,TA,No,ALQ,1088,Unf,-1,380,1455,GasA,TA,Y,SBrkr,1451,-4,-7,1455,10,-8,0,-6,-8,3,TA,12,Typ,5,,Attchd,1985.0,Unf,6,439,TA,TA,Y,-1,89,-4,-10,179,2,,,,-1,9,2005,WD,Normal,190000
353,50,RL,56.0,9092,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,11,-3,1942,1949,Gable,CompShg,MetalSd,HdBoard,None,-5.0,Ex,Gd,CBlock,Gd,TA,Av,ALQ,233,BLQ,387,5,622,GasA,TA,Y,FuseA,620,502,6,1105,5,-5,-3,0,0,4,TA,7,Min1,-7,,Attchd,1940.0,Unf,-3,201,TA,TA,Y,47,-4,5,0,-7,-5,,,,-2,11,2007,WD,Abnorml,94999
354,30,RM,63.0,8522,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,1,5,1927,2004,Gable,CompShg,HdBoard,HdBoard,None,8.0,Gd,TA,CBlock,Fa,Gd,No,Rec,2,Unf,3,624,625,GasA,Ex,Y,SBrkr,728,-4,-4,716,2,4,5,3,-2,-8,Ex,7,Typ,6,Gd,Attchd,2004.0,Unf,-2,484,TA,TA,Y,104,8,0,7,-3,1,,,,9,8,2011,WD,Normal,105897
355,50,RL,56.0,8391,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,2,-4,1941,2001,Gable,CompShg,VinylSd,VinylSd,None,-8.0,TA,TA,CBlock,Gd,TA,,Unf,382,Unf,2,544,939,GasA,Ex,Y,SBrkr,1194,411,-7,1592,8,6,-8,5,10,6,Gd,5,Typ,8,,Detchd,1941.0,Fin,-4,243,TA,,Y,4,-1,100,-4,-5,-2,,,,8,11,2007,WD,Normal,140009
356,20,RL,114.0,11253,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,1Fam,1Story,2,3,1996,1994,Gable,CompShg,HdBoard,VinylSd,,3.0,Gd,TA,CBlock,TA,Fa,Mn,ALQ,325,Unf,543,327,1208,GasA,Ex,N,SBrkr,1204,6,-3,1197,-9,2,-6,-1,-7,-5,Gd,1,Typ,1,Gd,Detchd,1996.0,Fin,3,515,TA,TA,Y,-4,20,-6,-5,8,-4,,,,7,4,2008,WD,Normal,177500
357,20,RL,,9242,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,-2,6,1993,1991,Gable,CompShg,CemntBd,Wd Sdng,None,98.0,TA,TA,CBlock,TA,TA,Mn,LwQ,562,Unf,-4,592,1150,GasA,TA,Y,SBrkr,1168,7,-10,1163,-6,-4,1,-9,4,-7,TA,15,Typ,-1,TA,Attchd,1993.0,Unf,2,405,TA,Fa,Y,115,31,8,5,-10,6,,,,-6,11,2008,WD,Normal,173000
358,120,RM,44.0,4230,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,SFoyer,0,6,1975,1977,Gable,CompShg,Wd Sdng,MetalSd,None,-7.0,TA,TA,PConc,TA,TA,No,BLQ,879,Unf,0,267,1145,GasA,Ex,Y,SBrkr,1139,3,-8,1148,3,-2,3,9,-2,-2,Fa,-2,Typ,-9,,Attchd,1977.0,RFn,-5,529,TA,TA,Y,539,86,-9,-9,-9,-8,,,,6,4,2008,WD,Normal,134005
359,80,RL,83.0,6939,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,0,-6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,129.0,Gd,TA,PConc,Ex,TA,No,Unf,301,Unf,300,459,1058,GasA,Ex,Y,SBrkr,1344,-8,1,1351,7,-8,-5,4,-3,4,TA,0,Typ,-1,Ex,BuiltIn,1957.0,Fin,4,287,TA,TA,Y,176,5,302,-7,1,1,,,,-8,16,2007,WD,Normal,129996
360,60,RL,82.0,12020,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,9,1997,1999,Hip,CompShg,HdBoard,CmentBd,BrkFace,521.0,TA,TA,CBlock,Gd,TA,No,BLQ,952,Unf,3,124,1079,GasA,Gd,Y,SBrkr,1090,845,-6,1918,9,-8,2,-6,9,5,TA,11,Typ,-3,Gd,Attchd,1999.0,Unf,3,596,TA,TA,Y,211,70,-6,6,375,1,,,,7,8,2007,WD,Normal,280007
361,85,RL,,7531,Pave,,Reg,HLS,AllPub,FR2,Gtl,OldTown,Norm,Norm,Duplex,SLvl,5,14,1979,1979,Gable,CompShg,VinylSd,Plywood,BrkFace,-6.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,766,Unf,-10,108,893,GasA,Ex,Y,SBrkr,906,6,-4,918,9,-1,5,-1,0,-4,Gd,0,Typ,8,,Attchd,1979.0,Fin,-7,462,TA,TA,Y,4,-10,-4,-3,191,-1,,,,-7,2,2006,WD,Partial,155998
362,50,RL,,9150,Pave,,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,TwnhsE,SFoyer,11,-2,1939,1983,Gable,CompShg,VinylSd,MetalSd,BrkFace,9.0,TA,TA,BrkTil,Gd,TA,Av,BLQ,391,Unf,5,482,878,GasA,Ex,Y,SBrkr,996,512,7,1510,-4,-1,5,-2,-5,0,TA,9,Typ,2,,Attchd,1941.0,RFn,6,248,TA,TA,Y,-10,-7,1,6,5,-9,,,,-10,7,2007,WD,Normal,144999
363,85,RL,67.0,7300,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,RRAe,Norm,Twnhs,1Story,8,-2,2004,2002,Gable,CompShg,CemntBd,VinylSd,None,491.0,TA,Gd,PConc,TA,TA,No,ALQ,1,LwQ,-10,2,2,GasA,Ex,Y,FuseA,503,1423,7,1921,6,-4,1,1,-3,5,TA,12,Typ,-3,Fa,Detchd,2002.0,Fin,3,675,,TA,Y,0,4,172,2,3,-10,,,,2,2,2010,WD,Normal,198499
364,160,RM,13.0,1673,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,8,17,1971,2008,Hip,CompShg,CemntBd,Wd Sdng,BrkCmn,508.0,Ex,TA,PConc,TA,TA,No,Rec,167,Unf,-9,311,492,GasA,Ex,Y,SBrkr,474,506,5,995,-2,-6,8,-5,-1,-6,TA,0,Typ,0,TA,Attchd,1971.0,Unf,2,269,TA,TA,Y,255,-5,-6,2,-7,-10,,,,8,14,2010,WD,Normal,118003
365,60,RL,,18797,Pave,,Reg,Low,AllPub,Corner,Gtl,NAmes,RRAn,Feedr,1Fam,1Story,8,-4,1977,1975,Gable,CompShg,VinylSd,VinylSd,None,127.0,Gd,TA,CBlock,TA,TA,Av,Unf,714,Unf,-5,79,795,GasA,Ex,Y,SBrkr,788,776,-3,1575,-4,-7,-8,0,11,5,Gd,12,Typ,0,Gd,Attchd,1977.0,RFn,-1,573,TA,TA,Y,297,116,-2,-6,-2,-4,,,,5,3,2007,WD,Normal,189993
366,70,RM,64.0,10680,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Fin,9,7,1919,1998,Gable,CompShg,WdShing,VinylSd,BrkFace,-2.0,TA,TA,PConc,TA,TA,No,Unf,456,Unf,-1,224,665,GasA,Gd,Y,SBrkr,668,670,-8,1344,0,3,-9,-1,-3,-7,TA,3,Typ,0,,CarPort,1965.0,Unf,5,466,TA,TA,Y,-5,126,212,-9,-7,-10,,,,5,13,2008,WD,Normal,146991
367,20,RL,,9505,Pave,,Reg,HLS,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,1Story,0,-5,1964,1964,Gable,CompShg,VinylSd,Wd Shng,BrkFace,244.0,TA,TA,PConc,Ex,TA,Gd,GLQ,617,BLQ,6,776,1391,GasA,Gd,Y,SBrkr,1391,-4,-9,1387,7,3,-8,-1,2,-8,TA,-2,Typ,-2,Gd,Detchd,1962.0,Fin,4,521,TA,TA,Y,-2,70,5,1,187,-9,,,,6,-3,2010,WD,Normal,158999
368,80,RL,100.0,9159,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,-4,11,1961,1963,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,311.0,TA,TA,CBlock,Gd,TA,Mn,Unf,372,Unf,-10,724,1101,GasA,Ex,Y,SBrkr,1432,-1,-7,1437,-3,-7,-9,9,0,1,TA,5,Typ,7,,Attchd,1963.0,Unf,6,287,TA,TA,Y,67,106,-5,6,7,-5,,,,6,8,2009,New,Normal,164990
369,20,RL,86.0,7804,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,RRAn,Norm,1Fam,1Story,5,12,1953,1955,Hip,CompShg,VinylSd,Plywood,None,197.0,TA,TA,CBlock,,TA,No,Rec,540,Unf,9,734,1276,GasA,Gd,Y,SBrkr,1258,-2,-4,1269,0,6,1,2,-3,4,Gd,0,Typ,-6,,Attchd,1955.0,Fin,-3,245,TA,TA,Y,-1,90,3,1,-3,3,,GdWo,,5,-2,2009,WD,Normal,131999
